,coef_ajuste,num_interacoes,tempos,erros,tolerancia
0,0.5,10,0.09947633743286133,0.0001316070556640625,0.001
1,0.6,8,0.061907052993774414,5.927054868479881e-05,0.001
2,0.7,7,0.05315756797790527,6.600497220000205e-06,0.001
3,0.7999999999999999,6,0.045938730239868164,5.652480000008189e-07,0.001
4,0.8999999999999999,4,0.030617237091064453,1.3799999999995171e-06,0.001
5,0.9999999999999999,2,0.015599966049194336,7.888609052210118e-31,0.001
6,1.0999999999999999,5,0.03852534294128418,1.380000000017189e-08,0.001
7,1.2,6,0.05045723915100098,5.652480000011316e-07,0.001
8,1.3,7,0.05577588081359863,6.600497220000595e-06,0.001
9,1.4000000000000001,9,0.06888771057128906,9.483287789576552e-06,0.001
10,1.5000000000000002,12,0.09635233879089355,8.225440979003906e-06,0.001
11,1.6000000000000003,16,0.12321639060974121,1.0982952331724765e-05,0.001
12,1.7000000000000004,22,0.1719350814819336,2.1095646872074e-05,0.001
13,1.8000000000000005,35,0.28753662109375,2.2707962891041885e-05,0.001
14,1.9000000000000006,73,0.5689160823822021,2.8792903688607884e-05,0.001
15,2.0000000000000004,301,2.538095712661743,138.000000000037,0.001
