,coef_ajuste,num_interacoes,tempos,erros,tolerancia
0,0.5,261,43.80807900428772,0.05184380031537101,0.001
1,0.6,217,37.095699071884155,0.04252748264608688,0.001
2,0.7,182,30.836909294128418,0.04209719399850999,0.001
3,0.7999999999999999,159,27.023398399353027,0.038989481673411854,0.001
4,0.8999999999999999,145,25.101354598999023,0.03231006041933687,0.001
5,0.9999999999999999,133,23.235131978988647,0.02960196700390914,0.001
6,1.0999999999999999,127,21.29675531387329,0.026555170446756867,0.001
7,1.2,126,20.638611793518066,0.028097807271084775,0.001
8,1.3,151,25.127905130386353,0.013505973792422108,0.001
9,1.4000000000000001,174,29.052888870239258,0.01055631066962142,0.001
10,1.5000000000000002,210,34.85759115219116,0.009791912904750365,0.001
11,1.6000000000000003,242,40.29625606536865,0.017640423279448588,0.001
12,1.7000000000000004,301,50.70736861228943,0.025020636675440522,0.001
13,1.8000000000000005,301,50.45851945877075,0.19499452723225608,0.001
14,1.9000000000000006,301,50.3720543384552,1.6334076682097878,0.001
15,2.0000000000000004,301,53.05861711502075,9866.671025433474,0.001
