,num_interacoes,tempos,erros,tolerancia
0,589,10.282190799713135,6.378912849847038e-08,-1
1,589,10.774627447128296,6.378912849847038e-08,-2
2,589,10.729408502578735,6.378912849847038e-08,-3
3,589,11.057798385620117,6.378912849847038e-08,-4
4,589,10.579429626464844,6.378912849847038e-08,-5
5,589,11.534456491470337,6.378912849847038e-08,-6
6,589,12.088627099990845,6.378912849847038e-08,-7
7,589,11.577661037445068,6.378912849847038e-08,-8
8,589,11.457863330841064,6.378912849847038e-08,-9
9,589,11.124916553497314,6.378912849847038e-08,-10
