,index,coef_ajuste,num_interacoes,tempos,erros,tolerancia
0,0,0.5,5.0,0.10129475593566895,231.20535352578088,-1.0
1,1,0.6,5.0,0.08241152763366699,218.87031419397402,-1.0
2,2,0.7,5.0,0.09144258499145508,205.40252141305828,-1.0
3,3,0.7999999999999999,4.0,0.06853485107421875,211.32453564773053,-1.0
4,4,0.8999999999999999,5.0,0.0838010311126709,174.7434392403513,-1.0
5,5,0.9999999999999999,5.0,0.08324837684631348,158.59851503367983,-1.0
6,6,1.0999999999999999,5.0,0.0822904109954834,142.9106733128953,-1.0
7,7,1.2,6.0,0.0978693962097168,106.20039724345239,-1.0
8,8,1.3,7.0,0.11536407470703125,76.55458714483073,-1.0
9,9,1.4000000000000001,9.0,0.15249204635620117,47.57136116266718,-1.0
10,10,1.5000000000000002,16.0,0.29479050636291504,20.079205908304093,-1.0
11,11,1.6000000000000003,17.0,0.2906341552734375,24.683733739584532,-1.0
12,12,1.7000000000000004,17.0,0.2863435745239258,36.671183074565185,-1.0
13,13,1.8000000000000005,28.0,0.4736754894256592,22.3505822138495,-1.0
14,14,1.9000000000000006,52.0,0.8680686950683594,25.3216910214849,-1.0
15,15,2.0000000000000004,300.0,5.2170493602752686,10366.147319451302,-1.0
16,0,0.5,23.0,0.40228891372680664,97.27652812499996,-2.0
17,1,0.6,22.0,0.37962913513183594,78.2536417933303,-2.0
18,2,0.7,21.0,0.36014318466186523,63.05521222900844,-2.0
19,3,0.7999999999999999,68.0,1.1727697849273682,2.3969357939386353,-2.0
20,4,0.8999999999999999,65.0,1.126739263534546,1.5191670556071173,-2.0
21,5,0.9999999999999999,59.0,1.0461220741271973,1.3461921425652583,-2.0
22,6,1.0999999999999999,52.0,0.9069416522979736,1.51590752284252,-2.0
23,7,1.2,50.0,0.8933584690093994,1.4382810968849016,-2.0
24,8,1.3,55.0,0.9708633422851562,0.9680975727963401,-2.0
25,9,1.4000000000000001,56.0,0.9871501922607422,0.9931026431349208,-2.0
26,10,1.5000000000000002,63.0,1.116654634475708,0.9998143734230225,-2.0
27,11,1.6000000000000003,68.0,1.256692886352539,1.3662575049138788,-2.0
28,12,1.7000000000000004,93.0,1.6330540180206299,1.5917937998130025,-2.0
29,13,1.8000000000000005,167.0,2.9719765186309814,1.2350167691807228,-2.0
30,14,1.9000000000000006,300.0,5.404053211212158,1.6349699459379023,-2.0
31,15,2.0000000000000004,300.0,5.952806711196899,10366.147319451302,-2.0
32,0,0.5,261.0,4.639472484588623,0.05184380031537101,-3.0
33,1,0.6,217.0,3.9660825729370117,0.04252748264608688,-3.0
34,2,0.7,182.0,3.326216459274292,0.04209719399850999,-3.0
35,3,0.7999999999999999,159.0,2.855480194091797,0.038989481673411854,-3.0
36,4,0.8999999999999999,145.0,2.705562114715576,0.03231006041933687,-3.0
37,5,0.9999999999999999,133.0,2.794686794281006,0.02960196700390914,-3.0
38,6,1.0999999999999999,127.0,2.401451587677002,0.026555170446756867,-3.0
39,7,1.2,126.0,2.3628833293914795,0.028097807271084775,-3.0
40,8,1.3,151.0,2.851513385772705,0.013505973792422108,-3.0
41,9,1.4000000000000001,174.0,3.248166799545288,0.01055631066962142,-3.0
42,10,1.5000000000000002,210.0,4.050503969192505,0.009791912904750365,-3.0
43,11,1.6000000000000003,242.0,4.574015378952026,0.017640423279448588,-3.0
44,12,1.7000000000000004,300.0,5.625872850418091,0.0252295904552877,-3.0
45,13,1.8000000000000005,300.0,5.640754461288452,0.19625948999340542,-3.0
46,14,1.9000000000000006,300.0,5.59822940826416,1.6349699459379023,-3.0
47,15,2.0000000000000004,300.0,6.061111927032471,10366.147319451302,-3.0
48,0,0.5,300.0,5.289879083633423,0.02007468822049428,-4.0
49,1,0.6,300.0,5.163313150405884,0.005156823618391721,-4.0
50,2,0.7,300.0,5.361869812011719,0.0016184542962337277,-4.0
51,3,0.7999999999999999,271.0,5.1531782150268555,0.0010713448028466755,-4.0
52,4,0.8999999999999999,247.0,4.437558650970459,0.0006950949012514159,-4.0
53,5,0.9999999999999999,230.0,4.293833017349243,0.0004405813572409191,-4.0
54,6,1.0999999999999999,238.0,4.454907178878784,0.00014519678293874145,-4.0
55,7,1.2,235.0,4.285052299499512,0.00022931286910500193,-4.0
56,8,1.3,270.0,4.856589317321777,8.525376065769019e-05,-4.0
57,9,1.4000000000000001,285.0,5.130907297134399,0.00020496106998666453,-4.0
58,10,1.5000000000000002,300.0,5.35749363899231,0.0005066935837379911,-4.0
59,11,1.6000000000000003,300.0,5.830177068710327,0.0030637670508811806,-4.0
60,12,1.7000000000000004,300.0,5.730833292007446,0.0252295904552877,-4.0
61,13,1.8000000000000005,300.0,5.608360290527344,0.19625948999340542,-4.0
62,14,1.9000000000000006,300.0,5.425973653793335,1.6349699459379023,-4.0
63,15,2.0000000000000004,300.0,5.945392608642578,10366.147319451302,-4.0
64,0,0.5,300.0,5.307408571243286,0.02007468822049428,-5.0
65,1,0.6,300.0,5.390684127807617,0.005156823618391721,-5.0
66,2,0.7,300.0,5.378891706466675,0.0016184542962337277,-5.0
67,3,0.7999999999999999,300.0,5.517378091812134,0.00045119377830877866,-5.0
68,4,0.8999999999999999,300.0,5.381544351577759,9.81566726457473e-05,-5.0
69,5,0.9999999999999999,300.0,5.4258949756622314,2.1506274189013295e-05,-5.0
70,6,1.0999999999999999,300.0,5.895498752593994,1.4191206572725854e-05,-5.0
71,7,1.2,300.0,5.483311891555786,1.2804581889530127e-05,-5.0
72,8,1.3,300.0,5.550570726394653,2.447160993774943e-05,-5.0
73,9,1.4000000000000001,300.0,5.26416540145874,0.00012414156194257383,-5.0
74,10,1.5000000000000002,300.0,5.490286350250244,0.0005066935837379911,-5.0
75,11,1.6000000000000003,300.0,5.426760911941528,0.0030637670508811806,-5.0
76,12,1.7000000000000004,300.0,5.614398002624512,0.0252295904552877,-5.0
77,13,1.8000000000000005,300.0,5.495723247528076,0.19625948999340542,-5.0
78,14,1.9000000000000006,300.0,5.438502550125122,1.6349699459379023,-5.0
79,15,2.0000000000000004,300.0,5.402917861938477,10366.147319451302,-5.0
80,0,0.5,300.0,5.534257173538208,0.02007468822049428,-6.0
81,1,0.6,300.0,5.562837839126587,0.005156823618391721,-6.0
82,2,0.7,300.0,5.866275310516357,0.0016184542962337277,-6.0
83,3,0.7999999999999999,300.0,5.3438191413879395,0.00045119377830877866,-6.0
84,4,0.8999999999999999,300.0,5.285292387008667,9.81566726457473e-05,-6.0
85,5,0.9999999999999999,300.0,5.764657020568848,2.1506274189013295e-05,-6.0
86,6,1.0999999999999999,300.0,5.726914405822754,1.4191206572725854e-05,-6.0
87,7,1.2,300.0,5.521762132644653,1.2804581889530127e-05,-6.0
88,8,1.3,300.0,5.482288599014282,2.447160993774943e-05,-6.0
89,9,1.4000000000000001,300.0,5.2653584480285645,0.00012414156194257383,-6.0
90,10,1.5000000000000002,300.0,5.718617916107178,0.0005066935837379911,-6.0
91,11,1.6000000000000003,300.0,5.228353977203369,0.0030637670508811806,-6.0
92,12,1.7000000000000004,300.0,5.264588117599487,0.0252295904552877,-6.0
93,13,1.8000000000000005,300.0,5.496994972229004,0.19625948999340542,-6.0
94,14,1.9000000000000006,300.0,5.641615867614746,1.6349699459379023,-6.0
95,15,2.0000000000000004,300.0,5.324663877487183,10366.147319451302,-6.0
96,0,0.5,300.0,5.360393047332764,0.02007468822049428,-7.0
97,1,0.6,300.0,5.550367593765259,0.005156823618391721,-7.0
98,2,0.7,300.0,5.4463279247283936,0.0016184542962337277,-7.0
99,3,0.7999999999999999,300.0,5.2365882396698,0.00045119377830877866,-7.0
100,4,0.8999999999999999,300.0,5.2482945919036865,9.81566726457473e-05,-7.0
101,5,0.9999999999999999,300.0,5.179341793060303,2.1506274189013295e-05,-7.0
102,6,1.0999999999999999,300.0,5.169467449188232,1.4191206572725854e-05,-7.0
103,7,1.2,300.0,5.204806089401245,1.2804581889530127e-05,-7.0
