,num_interacoes,tempos,erros,tolerancia
0,343,3.768975257873535,8.861893219045883e-05,-1
1,376,3.8733930587768555,1.1522255606626253e-06,-2
2,399,4.103143215179443,8.671666854538504e-08,-3
3,420,4.3145222663879395,4.546726698315549e-09,-4
4,437,4.4358062744140625,3.4056277950934664e-10,-5
5,453,4.602183818817139,1.2628505815171348e-11,-6
6,464,4.7763824462890625,1.2863615152030668e-12,-7
7,476,5.656077146530151,1.8251387981651273e-13,-8
8,490,5.773928880691528,1.472949002287454e-14,-9
9,502,5.9042558670043945,1.2339435010449408e-15,-10
