,num_interacoes,erros,coeficiente_min,tolerancia
0,2.0,7.888609052210118e-31,0.9999999999999999,-1
1,2.0,7.888609052210118e-31,0.9999999999999999,-2
2,2.0,7.888609052210118e-31,0.9999999999999999,-3
3,2.0,7.888609052210118e-31,0.9999999999999999,-4
4,2.0,7.888609052210118e-31,0.9999999999999999,-5
5,2.0,7.888609052210118e-31,0.9999999999999999,-6
6,2.0,7.888609052210118e-31,0.9999999999999999,-7
7,2.0,7.888609052210118e-31,0.9999999999999999,-8
8,2.0,7.888609052210118e-31,0.9999999999999999,-9
9,2.0,7.888609052210118e-31,0.9999999999999999,-10
