,index,coef_ajuste,num_interacoes,tempos,erros,tolerancia
0,0,0.5,4.0,0.001821756362915039,0.5390625,-1.0
1,1,0.6,4.0,0.0012249946594238281,0.09043968000000054,-1.0
2,2,0.7,3.0,0.0008802413940429688,0.10060200000000037,-1.0
3,3,0.7999999999999999,3.0,0.0008521080017089844,0.008832,-1.0
4,4,0.8999999999999999,2.0,0.0006070137023925781,0.013799999999999967,-1.0
5,5,0.9999999999999999,2.0,0.0007395744323730469,7.888609052210118e-31,-1.0
6,6,1.0999999999999999,3.0,0.0015285015106201172,0.00013799999999996966,-1.0
7,7,1.2,3.0,0.001402139663696289,0.008831999999999998,-1.0
8,8,1.3,4.0,0.0011756420135498047,0.009054179999999995,-1.0
9,9,1.4000000000000001,4.0,0.001230478286743164,0.09043968000000052,-1.0
10,10,1.5000000000000002,5.0,0.0015645027160644531,0.1347656250000001,-1.0
11,11,1.6000000000000003,7.0,0.0019228458404541016,0.1081425464524808,-1.0
12,12,1.7000000000000004,9.0,0.002380847930908203,0.22472107651164352,-1.0
13,13,1.8000000000000005,15.0,0.0042858123779296875,0.17083572542138473,-1.0
14,14,1.9000000000000006,29.0,0.014896869659423828,0.3061573103558058,-1.0
15,15,2.0000000000000004,300.0,0.07310104370117188,138.000000000037,-1.0
16,0,0.5,7.0,0.0015397071838378906,0.0084228515625,-2.0
17,1,0.6,6.0,0.0012826919555664062,0.0023152558079999907,-2.0
18,2,0.7,5.0,0.0010619163513183594,0.0008148761999999607,-2.0
19,3,0.7999999999999999,4.0,0.0008859634399414062,0.0003532800000000163,-2.0
20,4,0.8999999999999999,3.0,0.0006389617919921875,0.00013799999999999826,-2.0
21,5,0.9999999999999999,2.0,0.00042319297790527344,7.888609052210118e-31,-2.0
22,6,1.0999999999999999,4.0,0.0008730888366699219,1.3799999999997837e-06,-2.0
23,7,1.2,4.0,0.0008592605590820312,0.00035328000000001955,-2.0
24,8,1.3,6.0,0.0012857913970947266,7.333885799999601e-05,-2.0
25,9,1.4000000000000001,7.0,0.0014600753784179688,0.00037044092928001566,-2.0
26,10,1.5000000000000002,9.0,0.0019207000732421875,0.0005264282226562569,-2.0
27,11,1.6000000000000003,11.0,0.00235748291015625,0.0018163795130234604,-2.0
