,num_interacoes,tempos,erros,tolerancia
0,12,0.0007963180541992188,0.008667291822193935,-1
1,18,0.0008981227874755859,1.626809245945489e-05,-2
2,19,0.0005779266357421875,9.038172908557944e-26,-3
3,19,0.0005431175231933594,9.038172908557944e-26,-4
4,19,0.0005118846893310547,9.038172908557944e-26,-5
5,19,0.0004787445068359375,9.038172908557944e-26,-6
6,19,0.0005483627319335938,9.038172908557944e-26,-7
7,19,0.0006000995635986328,9.038172908557944e-26,-8
8,19,0.0005004405975341797,9.038172908557944e-26,-9
9,19,0.0005099773406982422,9.038172908557944e-26,-10
