,num_interacoes,tempos,erros,tolerancia
0,12,0.006896495819091797,0.008667291822193942,-1
1,18,0.011817455291748047,1.6268092459456487e-05,-2
2,19,0.011130332946777344,2.4168011078513393e-26,-3
3,19,0.009137153625488281,2.4168011078513393e-26,-4
4,19,0.011118888854980469,2.4168011078513393e-26,-5
5,19,0.009169578552246094,2.4168011078513393e-26,-6
6,19,0.009297609329223633,2.4168011078513393e-26,-7
7,19,0.008347749710083008,2.4168011078513393e-26,-8
8,19,0.008064031600952148,2.4168011078513393e-26,-9
9,19,0.008101224899291992,2.4168011078513393e-26,-10
