,index,coef_ajuste,num_interacoes,tempos,erros,tolerancia
58,10,1.5000000000000002,17.0,0.00681614875793457,1.0536288159864608e-08,-4.0
59,11,1.6000000000000003,24.0,0.01129603385925293,2.12569969562022e-09,-4.0
60,12,1.7000000000000004,34.0,0.013618230819702148,2.345241678716325e-09,-4.0
61,13,1.8000000000000005,52.0,0.019772768020629883,9.816825979443407e-09,-4.0
62,14,1.9000000000000006,111.0,0.046064138412475586,3.2812747173839703e-09,-4.0
63,15,2.0000000000000004,300.0,0.15557551383972168,40.99927377469543,-4.0
64,0,0.5,33.0,0.016235828399658203,7.387872249004894e-10,-5.0
65,1,0.6,26.0,0.011851072311401367,5.084771088283935e-10,-5.0
66,2,0.7,21.0,0.009238004684448242,2.7767280730167117e-10,-5.0
67,3,0.7999999999999999,17.0,0.00791311264038086,1.4143813407382789e-10,-5.0
68,4,0.8999999999999999,14.0,0.006431102752685547,3.162007406783524e-11,-5.0
69,5,0.9999999999999999,11.0,0.004837751388549805,4.736949313992712e-12,-5.0
70,6,1.0999999999999999,9.0,0.004816532135009766,3.1205242484778836e-12,-5.0
71,7,1.2,11.0,0.005154848098754883,1.8353032512426247e-12,-5.0
72,8,1.3,13.0,0.005516767501831055,1.5135160750829664e-11,-5.0
73,9,1.4000000000000001,17.0,0.008384466171264648,2.4234726327505346e-11,-5.0
74,10,1.5000000000000002,21.0,0.008379220962524414,2.24680179500284e-11,-5.0
75,11,1.6000000000000003,29.0,0.011331319808959961,1.3284089022019362e-11,-5.0
76,12,1.7000000000000004,41.0,0.015480279922485352,3.221387493872215e-11,-5.0
77,13,1.8000000000000005,64.0,0.03231477737426758,3.7081075048481026e-11,-5.0
78,14,1.9000000000000006,128.0,0.06582379341125488,2.249584057902703e-10,-5.0
79,15,2.0000000000000004,300.0,0.12255048751831055,40.99927377469543,-5.0
80,0,0.5,40.0,0.015770912170410156,1.2662124297251222e-11,-6.0
81,1,0.6,32.0,0.014215946197509766,5.33595951690193e-12,-6.0
82,2,0.7,26.0,0.01002049446105957,2.0728441599740597e-12,-6.0
83,3,0.7999999999999999,21.0,0.007823467254638672,8.974567518490138e-13,-6.0
84,4,0.8999999999999999,17.0,0.0061664581298828125,2.098644856538774e-13,-6.0
85,5,0.9999999999999999,13.0,0.0047338008880615234,3.839561784935576e-14,-6.0
86,6,1.0999999999999999,11.0,0.003994464874267578,3.150960736150702e-16,-6.0
87,7,1.2,13.0,0.00515294075012207,1.3920479049352069e-14,-6.0
88,8,1.3,15.0,0.005684614181518555,2.393615854280885e-13,-6.0
89,9,1.4000000000000001,19.0,0.006911039352416992,2.592253602739302e-13,-6.0
90,10,1.5000000000000002,25.0,0.009331703186035156,1.3422986315269094e-13,-6.0
91,11,1.6000000000000003,34.0,0.012342691421508789,1.8028665949044438e-13,-6.0
92,12,1.7000000000000004,50.0,0.01804637908935547,4.6067897597548554e-14,-6.0
93,13,1.8000000000000005,76.0,0.027898788452148438,2.639409753539652e-13,-6.0
94,14,1.9000000000000006,154.0,0.05560111999511719,1.6233562241680044e-12,-6.0
95,15,2.0000000000000004,300.0,0.11430835723876953,40.99927377469543,-6.0
96,0,0.5,48.0,0.01805877685546875,1.2149052156890452e-13,-7.0
97,1,0.6,38.0,0.013437271118164062,5.603214903462712e-14,-7.0
98,2,0.7,31.0,0.011016845703125,1.548173011475558e-14,-7.0
99,3,0.7999999999999999,25.0,0.008905887603759766,5.695625820145001e-15,-7.0
100,4,0.8999999999999999,20.0,0.007060050964355469,1.392169898539506e-15,-7.0
101,5,0.9999999999999999,15.0,0.0052988529205322266,3.0956284555015073e-16,-7.0
102,6,1.0999999999999999,12.0,0.004248142242431641,3.073695892927812e-18,-7.0
103,7,1.2,15.0,0.005347728729248047,1.9303040976915702e-17,-7.0
104,8,1.3,18.0,0.0063936710357666016,1.6177046999681683e-16,-7.0
105,9,1.4000000000000001,23.0,0.008450031280517578,2.227249998013351e-16,-7.0
106,10,1.5000000000000002,29.0,0.010286808013916016,1.1720038718062063e-15,-7.0
107,11,1.6000000000000003,38.0,0.013603448867797852,2.7741119802376843e-15,-7.0
108,12,1.7000000000000004,55.0,0.019566774368286133,3.923796181237084e-15,-7.0
109,13,1.8000000000000005,88.0,0.031332969665527344,2.4330494488916643e-15,-7.0
110,14,1.9000000000000006,177.0,0.06337904930114746,1.2082605380722e-14,-7.0
111,15,2.0000000000000004,300.0,0.11229205131530762,40.99927377469543,-7.0
112,0,0.5,56.0,0.020302772521972656,1.166001229304873e-15,-8.0
113,1,0.6,44.0,0.01571369171142578,5.885102321708716e-16,-8.0
114,2,0.7,35.0,0.012485504150390625,3.0794374455394954e-16,-8.0
115,3,0.7999999999999999,28.0,0.009950876235961914,1.2807170489194639e-16,-8.0
116,4,0.8999999999999999,22.0,0.007803440093994141,4.914596792851974e-17,-8.0
117,5,0.9999999999999999,17.0,0.006111621856689453,2.490672151126555e-18,-8.0
118,6,1.0999999999999999,13.0,0.004660606384277344,1.4549576776519676e-18,-8.0
119,7,1.2,16.0,0.005720853805541992,5.266302891459045e-19,-8.0
120,8,1.3,20.0,0.007123470306396484,1.857669868736807e-18,-8.0
121,9,1.4000000000000001,25.0,0.008848190307617188,3.1374313417791585e-17,-8.0
122,10,1.5000000000000002,33.0,0.011649847030639648,7.181728003777147e-18,-8.0
123,11,1.6000000000000003,45.0,0.015897274017333984,5.7493152662538255e-18,-8.0
124,12,1.7000000000000004,62.0,0.021952390670776367,5.0297312502964024e-17,-8.0
125,13,1.8000000000000005,97.0,0.03439164161682129,6.170232884809202e-17,-8.0
126,14,1.9000000000000006,201.0,0.07268929481506348,1.8715364315049892e-16,-8.0
127,15,2.0000000000000004,300.0,0.11304736137390137,40.99927377469543,-8.0
128,0,0.5,64.0,0.023296833038330078,1.1191598074167848e-17,-9.0
129,1,0.6,50.0,0.01797032356262207,6.181577071768838e-18,-9.0
130,2,0.7,40.0,0.0144195556640625,2.3004113406033944e-18,-9.0
131,3,0.7999999999999999,32.0,0.011518001556396484,8.128466739712599e-19,-9.0
132,4,0.8999999999999999,25.0,0.009003639221191406,3.2595804445027373e-19,-9.0
133,5,0.9999999999999999,19.0,0.006914377212524414,2.0021838577140107e-20,-9.0
134,6,1.0999999999999999,15.0,0.00538325309753418,6.629140777769943e-23,-9.0
135,7,1.2,17.0,0.006140470504760742,7.348313233759779e-20,-9.0
136,8,1.3,22.0,0.007893800735473633,1.402866415037649e-20,-9.0
137,9,1.4000000000000001,28.0,0.009853124618530273,6.244091328512498e-20,-9.0
138,10,1.5000000000000002,37.0,0.013093709945678711,3.0406477659733564e-20,-9.0
139,11,1.6000000000000003,50.0,0.017782926559448242,7.04751576449599e-20,-9.0
140,12,1.7000000000000004,68.0,0.024022579193115234,4.2043677141999703e-19,-9.0
141,13,1.8000000000000005,109.0,0.03874611854553223,7.818140289316425e-19,-9.0
142,14,1.9000000000000006,231.0,0.0870523452758789,5.42938789966867e-19,-9.0
143,15,2.0000000000000004,300.0,0.10813236236572266,40.99927377469543,-9.0
144,0,0.5,72.0,0.02601146697998047,1.0742267461157464e-19,-10.0
145,1,0.6,56.0,0.01969742774963379,6.49310792962387e-20,-10.0
146,2,0.7,45.0,0.01582169532775879,1.718478135402348e-20,-10.0
147,3,0.7999999999999999,36.0,0.012665033340454102,5.1589994469720715e-21,-10.0
148,4,0.8999999999999999,28.0,0.009771347045898438,2.1618725099780824e-21,-10.0
149,5,0.9999999999999999,20.0,0.0071375370025634766,1.794905629824456e-21,-10.0
150,6,1.0999999999999999,16.0,0.005685091018676758,2.5181035561378622e-24,-10.0
151,7,1.2,19.0,0.006732940673828125,4.2739063463836714e-23,-10.0
152,8,1.3,23.0,0.008145332336425781,3.786669979890966e-21,-10.0
153,9,1.4000000000000001,32.0,0.01136636734008789,9.087269963319165e-23,-10.0
154,10,1.5000000000000002,40.0,0.014217615127563477,1.432169486978519e-21,-10.0
155,11,1.6000000000000003,54.0,0.019181489944458008,1.9099623951621333e-21,-10.0
156,12,1.7000000000000004,76.0,0.027135133743286133,4.615085776674544e-21,-10.0
157,13,1.8000000000000005,122.0,0.04402327537536621,2.0692470048501432e-21,-10.0
158,14,1.9000000000000006,256.0,0.10245394706726074,4.098148072556178e-21,-10.0
159,15,2.0000000000000004,300.0,0.10758566856384277,40.99927377469543,-10.0
