,num_interacoes,erros,coeficiente_min,tolerancia
0,4.0,6.879737699805525e-05,0.9999999999999999,-1
1,5.0,6.7311197362387585e-06,0.9999999999999999,-2
2,7.0,3.901677041804857e-10,1.0999999999999999,-3
3,8.0,6.001905358570801e-12,1.0999999999999999,-4
4,9.0,3.1205242484778836e-12,1.0999999999999999,-5
5,11.0,3.150960736150702e-16,1.0999999999999999,-6
6,12.0,3.073695892927812e-18,1.0999999999999999,-7
7,13.0,1.4549576776519676e-18,1.0999999999999999,-8
8,15.0,6.629140777769943e-23,1.0999999999999999,-9
9,16.0,2.5181035561378622e-24,1.0999999999999999,-10
