dim_matriz,norma2 Cholesky,determinante Cholesky,tempo comp. Cholesky,norma2 sem Pivo,determinante sem Pivo,tempo comp. sem Pivo,norma2 solucao Numpy,determinante solucao Numpy,tempo comp. sol. Numpy
2,3.1401849173675503e-16,11930116.0,0.00024127960205078125,1.400333477469933,11930115.999999998,9.512901306152344e-05,1.400333477469933,11930115.999999996,0.00017309188842773438
3,3.3306690738754696e-16,119221731225.0,0.0002684593200683594,1.6978441125204904,119221731225.00002,0.00013017654418945312,1.6978441125204904,119221731225.00006,0.00011801719665527344
4,2.3697475749628012e-14,74089641561155.81,0.000370025634765625,2.0101897843648535,74089641561155.94,0.00026679039001464844,2.0101897843648535,74089641561155.67,0.00012612342834472656
5,6.156324321644999e-14,1.1049819647303349e+17,0.0004966259002685547,2.3319079353119747,1.1049819647303778e+17,0.00027370452880859375,2.3319079353119787,1.1049819647303533e+17,0.00012159347534179688
6,2.4525570437038635e-13,2.713477193275128e+18,0.0006656646728515625,2.8603800467271974,2.713477193274867e+18,0.00038433074951171875,2.860380046727198,2.7134771932748616e+18,0.0001430511474609375
7,1.8326453182558993e-13,1.161712635273819e+25,0.0009987354278564453,3.2267333279671737,1.1617126352738196e+25,0.00048542022705078125,3.2267333279671675,1.1617126352738262e+25,0.0001506805419921875
8,3.2883973873833896e-14,2.3457430966568824e+28,0.0010879039764404297,2.9843792071329953,2.345743096656904e+28,0.0006103515625,2.9843792071329953,2.3457430966568934e+28,0.00017690658569335938
9,1.3599636106680799e-11,9.352974121082972e+28,0.0026040077209472656,239.09211458150025,9.352974121101077e+28,0.001476287841796875,239.0921145811405,9.352974121115017e+28,0.0002624988555908203
10,1.8476382810645452e-13,3.5666915175166045e+35,0.003186941146850586,3.1965659225002336,3.56669151751654e+35,0.0011315345764160156,3.196565922500233,3.566691517516446e+35,0.0001785755157470703
11,6.252541798092533e-11,4.333708633854715e+38,0.0019412040710449219,44.690944118053125,4.333708633846468e+38,0.001087188720703125,44.690944118084474,4.3337086338434e+38,0.00021958351135253906
12,4.569929623769366e-13,3.2544481088353475e+44,0.0024399757385253906,3.63363303703942,3.254448108834866e+44,0.0012869834899902344,3.6336330370394183,3.254448108835245e+44,0.00015878677368164062
13,3.395258798382799e-11,1.1309922910423991e+46,0.0028297901153564453,91.5437501854671,1.130992291041235e+46,0.0014996528625488281,91.5437501853775,1.1309922910424002e+46,0.0001494884490966797
14,2.8632307414326216e-13,3.750508721117903e+51,0.0032472610473632812,3.861377208438245,3.7505087211181357e+51,0.0017294883728027344,3.861377208438217,3.7505087211185856e+51,0.0001533031463623047
15,2.4829700479763856e-13,1.3474328475577175e+57,0.0038678646087646484,3.990014873321611,1.347432847557682e+57,0.001995086669921875,3.9900148733216065,1.3474328475577042e+57,0.0001583099365234375
16,9.071511609732763e-13,1.0462615058691482e+60,0.004471778869628906,4.343342844367386,1.0462615058688799e+60,0.003511190414428711,4.343342844367421,1.0462615058688658e+60,0.00028395652770996094
17,8.230496124954359e-10,8.35893904575978e+60,0.005321979522705078,16823.54821205804,8.358939046652196e+60,0.002494335174560547,16823.54821061932,8.358939047366981e+60,0.00017786026000976562
18,1.2975673333771518e-11,1.906404039012632e+66,0.01509237289428711,59.45467037571392,1.9064040390113112e+66,0.007136106491088867,59.45467037567589,1.9064040390127217e+66,0.00040912628173828125
19,2.7572305644709402e-12,7.034778490781662e+73,0.01714944839477539,6.6292165603156885,7.034778490779204e+73,0.00797414779663086,6.629216560315963,7.034778490778587e+73,0.00041937828063964844
20,2.6151491460595972e-11,2.8615361958542236e+76,0.019740581512451172,478.47233972275643,2.861536195910177e+76,0.008874893188476562,478.47233971775114,2.8615361959401357e+76,0.000408172607421875
21,9.68873613130431e-13,3.3408383505103162e+81,0.022201061248779297,5.50089107213675,3.3408383505113407e+81,0.009908437728881836,5.500891072136812,3.3408383505110475e+81,0.00043201446533203125
22,1.5091626063151144e-11,4.677437921399251e+83,0.02487802505493164,37.50305690971421,4.677437921404781e+83,0.010586977005004883,37.50305690969743,4.6774379214085324e+83,0.0004322528839111328
23,2.092249232586236e-12,9.187390591271938e+90,0.027667522430419922,5.524603424217057,9.187390591271596e+90,0.011946439743041992,5.5246034242171325,9.18739059127194e+90,0.0004909038543701172
24,2.3575375075308097e-11,4.6293013743547505e+93,0.030881643295288086,36.94040816057532,4.629301374325221e+93,0.012655973434448242,36.94040816043792,4.629301374342827e+93,0.0004239082336425781
25,3.237860676215449e-10,5.703804416368528e+95,0.03286027908325195,401.6583184370128,5.703804416352753e+95,0.013675689697265625,401.658318436124,5.703804416365568e+95,0.0004990100860595703
26,1.0302298270654414e-12,6.941396556156472e+104,0.0389096736907959,5.189324674177794,6.94139655615492e+104,0.014833450317382812,5.189324674177792,6.941396556155032e+104,0.0004923343658447266
27,4.709653202008775e-12,8.243519749463029e+107,0.042671918869018555,9.015680508915349,8.243519749465098e+107,0.01602029800415039,9.015680508917105,8.243519749464033e+107,0.0006175041198730469
28,4.839504666288376e-11,7.76276851853745e+109,0.04591679573059082,149.61019354793567,7.762768518495119e+109,0.017096757888793945,149.61019354773498,7.762768518506024e+109,0.0004980564117431641
29,9.77338825270424e-13,1.1428378866123365e+117,0.05027604103088379,5.66070615558209,1.1428378866117692e+117,0.018488168716430664,5.660706155582123,1.1428378866118159e+117,0.0005617141723632812
30,9.434659063244193e-13,3.84351454282058e+120,0.05483508110046387,25.109491279837833,3.8435145428206034e+120,0.0197446346282959,25.109491279841635,3.843514542819969e+120,0.0005621910095214844
