,num_interacoes,erros,coeficiente_min,tolerancia
0,4.0,0.0017640468188426048,0.8999999999999999,-1
1,5.0,5.070765753740033e-06,0.9999999999999999,-2
2,7.0,5.4437942754314334e-08,0.9999999999999999,-3
3,9.0,1.746392734457476e-11,1.0999999999999999,-4
4,10.0,1.5152570666268223e-13,1.0999999999999999,-5
5,11.0,2.347337974710071e-15,1.0999999999999999,-6
6,12.0,1.8264826740492903e-16,1.0999999999999999,-7
7,14.0,1.5852957795356584e-19,1.0999999999999999,-8
8,15.0,8.95248930419532e-22,1.0999999999999999,-9
9,16.0,2.0167972531052386e-23,1.0999999999999999,-10
