,coef_ajuste,num_interacoes,tempos,erros,tolerancia
0,0.5,20,33.77760338783264,1.0102173826347067e-05,0.001
1,0.6,16,28.09573531150818,6.20219672111293e-06,0.001
2,0.7,14,24.257538318634033,1.3655205016415062e-06,0.001
3,0.7999999999999999,11,19.13750171661377,1.124577597891829e-06,0.001
4,0.8999999999999999,9,16.213497161865234,3.5661547188759175e-07,0.001
5,0.9999999999999999,7,12.545855283737183,5.4437942754314334e-08,0.001
6,1.0999999999999999,8,14.076840162277222,1.7644073787885938e-09,0.001
7,1.2,10,17.677785873413086,1.0808100284011898e-08,0.001
8,1.3,12,20.979796648025513,5.36892904395858e-08,0.001
9,1.4000000000000001,15,25.808788299560547,9.909283138628392e-08,0.001
10,1.5000000000000002,19,33.86520314216614,1.6166804641721952e-07,0.001
11,1.6000000000000003,25,43.91183042526245,2.3237237879437323e-07,0.001
12,1.7000000000000004,35,61.475335121154785,1.933172984138978e-07,0.001
13,1.8000000000000005,54,96.38607096672058,3.953311446488968e-07,0.001
14,1.9000000000000006,111,198.5385811328888,7.581794333161211e-07,0.001
15,2.0000000000000004,301,530.398029088974,7112.609705782976,0.001
