dim_matriz,norma2 sem Pivo,determinante sem Pivo,norma2 com Pivo,determinante com Pivo,norma2 com Pivo Escalado,determinante com Pivo Escalado,norma2 solucao Numpy,determinante solucao Numpy
2,8.005932084973442e-16,0.08333333333333331,8.005932084973442e-16,0.08333333333333331,8.005932084973442e-16,0.08333333333333331,8.005932084973442e-16,0.08333333333333333
3,1.762179615616027e-14,0.00046296296296296005,1.3907509956813866e-14,0.00046296296296296135,1.762179615616027e-14,0.00046296296296296005,1.389554002205336e-14,0.00046296296296296146
4,7.55503627649389e-13,1.6534391534392112e-07,7.731793137282111e-13,1.6534391534393014e-07,7.55503627649389e-13,1.6534391534392112e-07,8.903091920362417e-13,1.6534391534390412e-07
5,3.4726989976779822e-12,3.749295132517302e-12,8.076143005079248e-13,3.749295132515325e-12,3.4726989976779822e-12,3.749295132517302e-12,3.7629505159417226e-12,3.749295132489812e-12
6,6.164843591153147e-10,5.367299886906854e-18,7.610057864067193e-10,5.367299886816801e-18,6.164843591153147e-10,5.367299886906854e-18,6.415001271250743e-10,5.367299886656385e-18
7,2.2290975048130205e-08,4.835802604969769e-25,3.758724746935944e-08,4.835802607688303e-25,2.2290975048130205e-08,4.835802604969769e-25,3.335463548676909e-08,4.83580260882753e-25
8,4.5150988142558164e-07,2.7370500829639277e-33,5.90789436180505e-07,2.7370501432759908e-33,4.5150988142558164e-07,2.7370500829639277e-33,5.200465871999675e-07,2.7370500086739613e-33
9,1.638830755458189e-05,9.720269709185379e-43,2.7484049735854984e-05,9.720266065325044e-43,1.638830755458189e-05,9.720269709185379e-43,2.9568552502747094e-05,9.720256477718344e-43
10,0.0008408643847442321,2.164480500135833e-53,0.000758919354399849,2.164401702522885e-53,0.0008408643847442321,2.164480500135833e-53,0.0007371385151292693,2.164214627302023e-53
11,0.007885381408007491,3.02914646115912e-65,0.013419127227481072,3.0266670140486096e-65,0.007885381408007491,3.02914646115912e-65,0.018564938847575495,3.0170658653599153e-65
12,0.8064992831151234,2.840343621874442e-78,0.872244317797422,2.833255680120513e-78,0.8064992831151234,2.840343621874442e-78,1.2078179031744007,2.5505547367892783e-78
13,3.720674493494744,3.481433690985391e-92,2.8914172687903585,4.111497796319577e-92,3.720674493494744,3.481433690985391e-92,3.546053142878792,2.4518239825027886e-92
14,4.190777617328145,-7.848709660922192e-107,24.425725134063985,1.675592259552414e-107,4.1907776173274405,-7.848709660922117e-107,9.451169915090015,-2.3871740850328386e-106
15,7.5189469661679444,-1.4661790315628065e-120,7.682093254150185,-1.4241925146274581e-120,7.518946966168371,-1.4661790315628065e-120,19.98440278028821,-2.1491893717231662e-120
16,15.132708788352888,5.90894252643666e-136,14.526662161574809,2.0371269541251165e-135,15.132708788349479,5.908942526438028e-136,30.15296244972985,5.926327736317881e-136
17,20.783765439989065,2.650456279315693e-150,21.4552517700555,5.114819392825206e-150,20.783765439989065,2.650456279315693e-150,17.028731519890044,7.571985326424406e-150
18,47.16631628942015,-6.177168451581338e-166,209.20269989453328,-8.65747809966947e-167,47.166316289433716,-6.177168451667553e-166,14.400441441537257,9.199350296480747e-165
19,70.26737647973697,-2.0981452473737036e-180,42.66104436055411,-3.510679013055816e-181,70.26737647626808,-2.098145247062137e-180,24.290919209048983,1.1253884189606168e-179
20,95.89672489338248,4.2553115348118698e-196,50.51757562981818,-1.5677636485529008e-195,95.89672531849882,4.2553115172354104e-196,188.68303206352948,-1.909904976958748e-195
21,78.04839267561282,1.6548709282316251e-211,54.03925579518962,-2.218555761502702e-211,78.04839271226334,1.6548709246951483e-211,60.213293576019446,-7.624782066716214e-211
22,127.22514094666974,6.210895906597053e-227,91.7037361592126,3.311563875200504e-226,127.22514235236973,6.210895872493561e-227,23.043473532490303,2.676741410238444e-225
23,147.738577325733,8.564653713682496e-243,82.51563808290557,2.6443044062052924e-241,147.73859349618692,8.564653755523859e-243,47.737091285624615,-7.523253800024984e-241
24,41.076354705227104,-3.8508715551640526e-258,29.838827438070222,-1.44246202592515e-257,41.076355115235856,-3.850871440456163e-258,190.14913644374516,4.109511007105249e-257
25,429.55129626209094,-1.8798236364699698e-274,401.51573398490376,1.79271975089835e-274,429.5510051686754,-1.8798248385958989e-274,65.62953521239638,-5.90546748221608e-272
26,282.6651794020554,-7.884951567775195e-290,636.2494846010318,-4.9182913844594147e-290,282.66497028422197,-7.884960006714056e-290,107.88790347609792,2.2490342628383768e-288
27,38.21374609344844,4.926040243433732e-305,64.13199365728815,5.528558994911819e-305,38.21373976600276,4.926035799895459e-305,62.64955298220562,-5.096297591178086e-303
28,3844.742615978201,3.2e-322,296.42658343808233,1.057e-321,3844.6880542348786,3.2e-322,81.96477305602119,6.33045e-318
29,38.67162210138755,0.0,47.34007901483966,-0.0,38.67162134496115,0.0,75.72796403399846,-0.0
30,116.42080088307343,0.0,196.25952555282598,0.0,116.42027059614783,0.0,54.1935577247918,-0.0
31,344.2149770012243,0.0,3232.628149676565,-0.0,344.21452860479224,0.0,441.3337371853126,-0.0
32,193.59062535658057,0.0,2050.9136127422826,-0.0,193.58606364469392,0.0,58.70943967438704,-0.0
33,175.40050144728474,0.0,792.32749301183,0.0,175.3919517567748,0.0,138.26891403921334,0.0
34,99.61789708427163,-0.0,808.5968385825,0.0,99.6219087531378,-0.0,490.38672587313414,-0.0
35,639.6418103485744,0.0,550.4272884913759,-0.0,639.6873647737589,0.0,188.20016940615065,-0.0
36,1088.4739865994243,0.0,2531.748088352385,-0.0,1087.8753513270472,0.0,161.13611638335024,0.0
37,1191.9292853939944,0.0,7439.243582615673,-0.0,1191.718405973501,0.0,65.97125440206577,0.0
38,433.16561075381554,0.0,518.1148590738935,0.0,433.47743271549314,0.0,475.25211199750703,-0.0
39,962.5553151455601,-0.0,715.8042244636925,0.0,961.84199045473,-0.0,204.79234871206236,0.0
40,391.99801642217705,0.0,1007.2930425121957,-0.0,391.9891162371627,0.0,152.41338303809692,-0.0
41,334.19429588519205,-0.0,350.06710965473286,-0.0,334.0996274655073,-0.0,789.8499023415643,0.0
42,280.3296634896085,-0.0,629.9498559579932,0.0,280.25616915936075,-0.0,2594.0769006378773,-0.0
43,1096.2054164685942,0.0,1588.0865221363026,0.0,1091.5868961358958,0.0,648.8644761406683,-0.0
44,373.74871418256464,-0.0,2416.8669102951744,0.0,373.37821286614445,-0.0,302.14797162190916,0.0
45,683.3892135776132,0.0,666.3582053588264,0.0,682.2347192396744,0.0,501.98682926602106,-0.0
46,464.68534925085123,-0.0,366.82407604735846,0.0,463.795945455738,-0.0,585.7070876588022,0.0
47,391.4121431227135,0.0,497.34573113368094,0.0,392.4233446632878,0.0,618.1193854275082,-0.0
48,1596.6608179646169,-0.0,1273.8496602405546,-0.0,1592.9355900158412,-0.0,132.8602201851347,-0.0
