,num_interacoes,tempos,erros,tolerancia
0,27,0.4466896057128906,326.76779126843917,-1
1,37,0.5923521518707275,308.8821297720605,-2
2,55,0.8570566177368164,270.0050684987726,-3
3,119,1.712726354598999,132.66668287963637,-4
4,276,4.239315509796143,23.22787942694471,-5
5,420,6.145238637924194,3.260563688918218,-6
6,601,9.48265790939331,0.28714863725329454,-7
7,749,11.89136528968811,0.09449880116066058,-8
8,1006,15.922457695007324,0.008215373391151385,-9
9,1239,19.376285552978516,0.0010358069960057696,-10
