,index,coef_ajuste,num_interacoes,tempos,erros,tolerancia
37,5,0.9999999999999999,300.0,5.378272533416748,17.17201449528253,-3.0
38,6,1.0999999999999999,300.0,5.501758575439453,7.712500291617769,-3.0
39,7,1.2,300.0,5.667836666107178,2.90402708462568,-3.0
40,8,1.3,300.0,5.6057350635528564,0.9018099285706583,-3.0
41,9,1.4000000000000001,300.0,5.596801519393921,0.2382938909424362,-3.0
42,10,1.5000000000000002,273.0,5.340677738189697,0.1086850844278003,-3.0
43,11,1.6000000000000003,230.0,4.679782152175903,0.069436375675536,-3.0
44,12,1.7000000000000004,185.0,3.291760206222534,0.03995153582977474,-3.0
45,13,1.8000000000000005,134.0,2.458064317703247,0.016049984162993428,-3.0
46,14,1.9000000000000006,129.0,2.5326602458953857,0.0025696142656314314,-3.0
47,15,2.0000000000000004,300.0,5.669008016586304,269466.59039041895,-3.0
48,0,0.5,300.0,5.424292087554932,185.82336453968824,-4.0
49,1,0.6,300.0,5.44547963142395,132.74659897145986,-4.0
50,2,0.7,300.0,5.421268701553345,90.01951863362746,-4.0
51,3,0.7999999999999999,300.0,5.503651857376099,57.04301463018315,-4.0
52,4,0.8999999999999999,300.0,5.503664255142212,33.11409979025086,-4.0
53,5,0.9999999999999999,300.0,5.488965749740601,17.17201449528253,-4.0
54,6,1.0999999999999999,300.0,5.4712584018707275,7.712500291617769,-4.0
55,7,1.2,300.0,5.450420379638672,2.90402708462568,-4.0
56,8,1.3,300.0,5.993632793426514,0.9018099285706583,-4.0
57,9,1.4000000000000001,300.0,5.269950866699219,0.2382938909424362,-4.0
58,10,1.5000000000000002,300.0,5.231477737426758,0.05431879927038405,-4.0
59,11,1.6000000000000003,300.0,5.458831310272217,0.00798569942322911,-4.0
60,12,1.7000000000000004,285.0,5.271408319473267,0.0005870113404882408,-4.0
61,13,1.8000000000000005,199.0,3.664795398712158,0.00015484118681583173,-4.0
62,14,1.9000000000000006,180.0,3.320672035217285,2.5365631278840273e-05,-4.0
63,15,2.0000000000000004,300.0,5.564097166061401,269466.59039041895,-4.0
64,0,0.5,300.0,5.722381591796875,185.82336453968824,-5.0
65,1,0.6,300.0,5.571722984313965,132.74659897145986,-5.0
66,2,0.7,300.0,5.624339580535889,90.01951863362746,-5.0
67,3,0.7999999999999999,300.0,5.580744504928589,57.04301463018315,-5.0
68,4,0.8999999999999999,300.0,5.692202091217041,33.11409979025086,-5.0
69,5,0.9999999999999999,300.0,5.7806665897369385,17.17201449528253,-5.0
70,6,1.0999999999999999,300.0,5.956786632537842,7.712500291617769,-5.0
71,7,1.2,300.0,5.483044862747192,2.90402708462568,-5.0
72,8,1.3,300.0,5.764251232147217,0.9018099285706583,-5.0
73,9,1.4000000000000001,300.0,6.103553533554077,0.2382938909424362,-5.0
74,10,1.5000000000000002,300.0,5.118681907653809,0.05431879927038405,-5.0
75,11,1.6000000000000003,300.0,6.01514196395874,0.00798569942322911,-5.0
76,12,1.7000000000000004,300.0,5.67245626449585,0.00032051897381136905,-5.0
77,13,1.8000000000000005,272.0,4.648285388946533,1.201891871068534e-06,-5.0
78,14,1.9000000000000006,231.0,3.9537644386291504,2.399293729783639e-07,-5.0
79,15,2.0000000000000004,300.0,5.1889519691467285,269466.59039041895,-5.0
80,0,0.5,300.0,5.217963695526123,185.82336453968824,-6.0
81,1,0.6,300.0,5.129325866699219,132.74659897145986,-6.0
82,2,0.7,300.0,5.464522361755371,90.01951863362746,-6.0
83,3,0.7999999999999999,300.0,5.323914051055908,57.04301463018315,-6.0
84,4,0.8999999999999999,300.0,5.228391885757446,33.11409979025086,-6.0
85,5,0.9999999999999999,300.0,5.2626776695251465,17.17201449528253,-6.0
86,6,1.0999999999999999,300.0,5.428324222564697,7.712500291617769,-6.0
87,7,1.2,300.0,5.277834415435791,2.90402708462568,-6.0
88,8,1.3,300.0,5.228411912918091,0.9018099285706583,-6.0
89,9,1.4000000000000001,300.0,5.220272779464722,0.2382938909424362,-6.0
90,10,1.5000000000000002,300.0,5.196135759353638,0.05431879927038405,-6.0
91,11,1.6000000000000003,300.0,5.259347200393677,0.00798569942322911,-6.0
92,12,1.7000000000000004,300.0,4.969890594482422,0.00032051897381136905,-6.0
93,13,1.8000000000000005,300.0,5.142819881439209,2.006748250211448e-07,-6.0
94,14,1.9000000000000006,287.0,4.978725433349609,2.8591138848589627e-09,-6.0
95,15,2.0000000000000004,300.0,5.185687065124512,269466.59039041895,-6.0
96,0,0.5,300.0,5.09655237197876,185.82336453968824,-7.0
97,1,0.6,300.0,5.06317400932312,132.74659897145986,-7.0
98,2,0.7,300.0,5.020142316818237,90.01951863362746,-7.0
99,3,0.7999999999999999,300.0,5.052757263183594,57.04301463018315,-7.0
100,4,0.8999999999999999,300.0,4.988269090652466,33.11409979025086,-7.0
101,5,0.9999999999999999,300.0,5.041807651519775,17.17201449528253,-7.0
102,6,1.0999999999999999,300.0,5.060271263122559,7.712500291617769,-7.0
103,7,1.2,300.0,5.292903423309326,2.90402708462568,-7.0
104,8,1.3,300.0,5.282328844070435,0.9018099285706583,-7.0
105,9,1.4000000000000001,300.0,5.187305212020874,0.2382938909424362,-7.0
106,10,1.5000000000000002,300.0,5.200963735580444,0.05431879927038405,-7.0
107,11,1.6000000000000003,300.0,5.0901198387146,0.00798569942322911,-7.0
108,12,1.7000000000000004,300.0,4.911740779876709,0.00032051897381136905,-7.0
109,13,1.8000000000000005,300.0,5.069330215454102,2.006748250211448e-07,-7.0
110,14,1.9000000000000006,300.0,4.9223313331604,1.3191459570475005e-09,-7.0
111,15,2.0000000000000004,300.0,5.170832395553589,269466.59039041895,-7.0
112,0,0.5,300.0,5.151228666305542,185.82336453968824,-8.0
113,1,0.6,300.0,5.319211483001709,132.74659897145986,-8.0
114,2,0.7,300.0,5.456873178482056,90.01951863362746,-8.0
115,3,0.7999999999999999,300.0,5.491653203964233,57.04301463018315,-8.0
116,4,0.8999999999999999,300.0,5.743988990783691,33.11409979025086,-8.0
117,5,0.9999999999999999,300.0,5.227572917938232,17.17201449528253,-8.0
118,6,1.0999999999999999,300.0,5.2537007331848145,7.712500291617769,-8.0
119,7,1.2,300.0,5.298991680145264,2.90402708462568,-8.0
120,8,1.3,300.0,5.200425624847412,0.9018099285706583,-8.0
121,9,1.4000000000000001,300.0,5.456058502197266,0.2382938909424362,-8.0
122,10,1.5000000000000002,300.0,5.899966478347778,0.05431879927038405,-8.0
123,11,1.6000000000000003,300.0,5.745672941207886,0.00798569942322911,-8.0
124,12,1.7000000000000004,300.0,5.451954126358032,0.00032051897381136905,-8.0
125,13,1.8000000000000005,300.0,5.4275665283203125,2.006748250211448e-07,-8.0
126,14,1.9000000000000006,300.0,5.761239290237427,1.3191459570475005e-09,-8.0
127,15,2.0000000000000004,300.0,5.37189245223999,269466.59039041895,-8.0
128,0,0.5,300.0,5.345068454742432,185.82336453968824,-9.0
129,1,0.6,300.0,5.343712329864502,132.74659897145986,-9.0
130,2,0.7,300.0,5.768563985824585,90.01951863362746,-9.0
131,3,0.7999999999999999,300.0,5.838728666305542,57.04301463018315,-9.0
132,4,0.8999999999999999,300.0,5.900021553039551,33.11409979025086,-9.0
133,5,0.9999999999999999,300.0,6.345422267913818,17.17201449528253,-9.0
134,6,1.0999999999999999,300.0,5.755262136459351,7.712500291617769,-9.0
135,7,1.2,300.0,5.7195703983306885,2.90402708462568,-9.0
136,8,1.3,300.0,5.83415675163269,0.9018099285706583,-9.0
137,9,1.4000000000000001,300.0,6.2080771923065186,0.2382938909424362,-9.0
138,10,1.5000000000000002,300.0,5.603002071380615,0.05431879927038405,-9.0
139,11,1.6000000000000003,300.0,5.489537477493286,0.00798569942322911,-9.0
140,12,1.7000000000000004,300.0,5.868918180465698,0.00032051897381136905,-9.0
141,13,1.8000000000000005,300.0,5.317967653274536,2.006748250211448e-07,-9.0
142,14,1.9000000000000006,300.0,5.4889562129974365,1.3191459570475005e-09,-9.0
143,15,2.0000000000000004,300.0,6.416533708572388,269466.59039041895,-9.0
144,0,0.5,300.0,5.298884868621826,185.82336453968824,-10.0
145,1,0.6,300.0,5.255853176116943,132.74659897145986,-10.0
146,2,0.7,300.0,5.317025423049927,90.01951863362746,-10.0
147,3,0.7999999999999999,300.0,5.6302149295806885,57.04301463018315,-10.0
148,4,0.8999999999999999,300.0,5.295939683914185,33.11409979025086,-10.0
149,5,0.9999999999999999,300.0,5.305754899978638,17.17201449528253,-10.0
150,6,1.0999999999999999,300.0,5.412619352340698,7.712500291617769,-10.0
151,7,1.2,300.0,5.695364236831665,2.90402708462568,-10.0
152,8,1.3,300.0,5.309620380401611,0.9018099285706583,-10.0
153,9,1.4000000000000001,300.0,5.470874309539795,0.2382938909424362,-10.0
154,10,1.5000000000000002,300.0,5.38010311126709,0.05431879927038405,-10.0
155,11,1.6000000000000003,300.0,5.551387310028076,0.00798569942322911,-10.0
156,12,1.7000000000000004,300.0,5.4408278465271,0.00032051897381136905,-10.0
157,13,1.8000000000000005,300.0,5.653372764587402,2.006748250211448e-07,-10.0
158,14,1.9000000000000006,300.0,5.49570631980896,1.3191459570475005e-09,-10.0
159,15,2.0000000000000004,300.0,5.52394700050354,269466.59039041895,-10.0
